character_x,character_y,enemy_x,enemy_y,enemy_action,distance
701.413,400.003,756.023,549.316,Moving,158.987
701.417,400.003,756.018,549.303,Moving,158.971
701.427,400.003,756.004,549.262,Moving,158.924
701.433,400.003,755.995,549.24,Moving,158.899
701.437,400.003,755.99,549.225,Moving,158.881
701.441,400.003,755.984,549.21,Moving,158.864
701.446,400.003,755.977,549.19,Moving,158.841
701.451,400.003,755.969,549.168,Moving,158.816
701.457,400.003,755.961,549.145,Moving,158.789
701.461,400.003,755.955,549.129,Moving,158.771
701.467,400.003,755.947,549.109,Moving,158.747
701.474,400.003,755.937,549.081,Moving,158.715
701.48,400.003,755.929,549.057,Moving,158.688
701.533,400.003,755.855,548.856,Moving,158.455
701.539,400.003,755.847,548.834,Moving,158.43
701.553,400.003,755.827,548.78,Moving,158.367
701.556,400.003,755.822,548.767,Moving,158.353
701.562,400.003,755.815,548.747,Moving,158.329
701.571,400.003,755.802,548.713,Moving,158.289
701.574,400.003,755.798,548.701,Moving,158.276
701.581,400.003,755.789,548.675,Moving,158.245
701.588,400.003,755.779,548.65,Moving,158.216
701.592,400.003,755.775,548.637,Moving,158.201
701.597,400.004,755.767,548.615,Moving,158.177
701.601,400.004,755.762,548.601,Moving,158.16
701.606,400.004,755.755,548.584,Moving,158.14
701.61,400.004,755.75,548.57,Moving,158.124
701.614,400.004,755.745,548.555,Moving,158.106
701.621,400.004,755.735,548.529,Moving,158.077
701.653,400.004,755.693,548.413,Moving,157.942
701.661,400.004,755.682,548.383,Moving,157.907
701.673,400.004,755.666,548.34,Moving,157.857
701.677,400.004,755.661,548.326,Moving,157.84
701.683,400.004,755.653,548.303,Moving,157.814
701.687,400.004,755.648,548.29,Moving,157.799
701.695,400.004,755.637,548.26,Moving,157.764
701.699,400.004,755.632,548.245,Moving,157.747
701.708,400.004,755.62,548.212,Moving,157.709
701.714,400.004,755.613,548.194,Moving,157.688
701.724,400.004,755.599,548.157,Moving,157.644
701.732,400.004,755.589,548.127,Moving,157.61
701.736,400.004,755.584,548.115,Moving,157.596
701.769,400.004,755.542,547.999,Moving,157.461
701.781,400.004,755.527,547.957,Moving,157.412
701.786,400.004,755.52,547.939,Moving,157.392
701.79,400.004,755.515,547.924,Moving,157.374
701.797,400.004,755.506,547.9,Moving,157.346
701.802,400.004,755.5,547.883,Moving,157.327
701.809,400.004,755.491,547.858,Moving,157.297
701.813,400.004,755.486,547.845,Moving,157.282
701.818,400.004,755.48,547.828,Moving,157.263
701.822,400.005,755.474,547.812,Moving,157.243
701.827,400.005,755.468,547.794,Moving,157.223
701.832,400.005,755.462,547.778,Moving,157.204
701.837,400.005,755.455,547.761,Moving,157.184
701.842,400.005,755.45,547.745,Moving,157.166
701.847,400.005,755.444,547.728,Moving,157.146
701.852,400.005,755.437,547.71,Moving,157.125
701.857,400.005,755.431,547.693,Moving,157.105
701.862,400.005,755.424,547.676,Moving,157.085
701.868,400.005,755.417,547.657,Moving,157.062
701.873,400.005,755.411,547.64,Moving,157.043
701.878,400.005,755.405,547.623,Moving,157.023
701.883,400.005,755.399,547.606,Moving,157.003
701.889,400.005,755.391,547.583,Moving,156.977
701.894,400.005,755.385,547.568,Moving,156.959
701.901,400.005,755.377,547.544,Moving,156.932
701.905,400.005,755.371,547.529,Moving,156.914
701.911,400.005,755.364,547.509,Moving,156.89
701.915,400.005,755.359,547.495,Moving,156.874
701.924,400.005,755.349,547.466,Moving,156.841
701.929,400.005,755.342,547.448,Moving,156.82
701.938,400.005,755.331,547.418,Moving,156.784
701.948,400.005,755.318,547.384,Moving,156.744
701.954,400.005,755.311,547.363,Moving,156.721
701.962,400.005,755.302,547.338,Moving,156.691
701.967,400.005,755.296,547.323,Moving,156.674
701.974,400.005,755.288,547.299,Moving,156.645
701.997,400.005,755.26,547.222,Moving,156.556
702.009,400.005,755.246,547.183,Moving,156.51
702.013,400.005,755.24,547.168,Moving,156.492
702.02,400.006,755.233,547.148,Moving,156.469
702.025,400.006,755.226,547.13,Moving,156.448
702.03,400.006,755.221,547.114,Moving,156.43
702.035,400.006,755.215,547.098,Moving,156.411
702.039,400.006,755.21,547.084,Moving,156.394
702.045,400.006,755.202,547.064,Moving,156.371
702.05,400.006,755.197,547.048,Moving,156.352
702.056,400.006,755.19,547.029,Moving,156.33
702.061,400.006,755.184,547.013,Moving,156.312
702.066,400.006,755.177,546.995,Moving,156.29
702.071,400.006,755.172,546.979,Moving,156.271
702.078,400.006,755.164,546.957,Moving,156.245
702.086,400.006,755.155,546.932,Moving,156.217
702.091,400.006,755.149,546.916,Moving,156.197
702.1,400.006,755.138,546.886,Moving,156.163
702.104,400.006,755.133,546.871,Moving,156.146
702.112,400.006,755.125,546.849,Moving,156.119
702.116,400.006,755.119,546.834,Moving,156.102
702.124,400.006,755.111,546.81,Moving,156.074
702.128,400.006,755.106,546.796,Moving,156.058
702.136,400.006,755.097,546.772,Moving,156.029
702.14,400.006,755.092,546.758,Moving,156.013
702.148,400.006,755.083,546.732,Moving,155.983
702.152,400.006,755.078,546.719,Moving,155.967
702.159,400.006,755.069,546.696,Moving,155.94
702.164,400.006,755.064,546.682,Moving,155.924
702.171,400.006,755.056,546.658,Moving,155.895
702.176,400.006,755.051,546.644,Moving,155.88
702.184,400.006,755.041,546.618,Moving,155.848
702.189,400.006,755.036,546.602,Moving,155.83
702.202,400.006,755.02,546.56,Moving,155.78
702.215,400.007,755.006,546.52,Moving,155.734
702.225,400.007,754.994,546.488,Moving,155.697
702.232,400.007,754.987,546.467,Moving,155.671
702.238,400.007,754.98,546.449,Moving,155.651
702.264,400.007,754.951,546.368,Moving,155.555
702.271,400.007,754.943,546.345,Moving,155.529
702.278,400.007,754.935,546.323,Moving,155.503
702.283,400.007,754.929,546.307,Moving,155.484
702.292,400.007,754.919,546.28,Moving,155.452
702.297,400.007,754.914,546.264,Moving,155.434
702.306,400.007,754.904,546.238,Moving,155.403
702.31,400.007,754.899,546.223,Moving,155.386
702.319,400.007,754.89,546.198,Moving,155.356
702.323,400.007,754.884,546.183,Moving,155.339
702.33,400.007,754.877,546.162,Moving,155.314
702.335,400.007,754.871,546.147,Moving,155.297
702.34,400.007,754.866,546.133,Moving,155.28
702.344,400.007,754.861,546.12,Moving,155.264
