character_x,character_y,enemy_x,enemy_y,enemy_action,distance
400.086,300.005,423.706,300.008,Moving,23.6206
400.086,300.005,423.691,300.008,Moving,23.6048
400.088,300.006,423.664,300.008,Moving,23.5764
400.089,300.006,423.649,300.008,Moving,23.5599
400.091,300.006,423.618,300.008,Moving,23.527
400.092,300.006,423.6,300.008,Moving,23.5086
400.094,300.006,423.568,300.008,Moving,23.4742
400.095,300.006,423.549,300.008,Moving,23.4539
400.097,300.006,423.521,300.008,Moving,23.424
400.098,300.006,423.502,300.008,Moving,23.4045
400.099,300.006,423.481,300.008,Moving,23.3818
400.1,300.006,423.465,300.008,Moving,23.3645
400.103,300.006,423.428,300.008,Moving,23.3252
400.105,300.007,423.394,300.008,Moving,23.2891
400.108,300.007,423.347,300.008,Moving,23.2387
400.111,300.007,423.293,300.008,Moving,23.1818
400.115,300.007,423.246,300.008,Moving,23.1315
400.116,300.007,423.231,300.008,Moving,23.1151
400.118,300.007,423.195,300.008,Moving,23.077
400.119,300.008,423.176,300.008,Moving,23.0572
400.121,300.008,423.153,300.008,Moving,23.0322
400.122,300.008,423.133,300.008,Moving,23.0102
400.124,300.008,423.102,300.008,Moving,22.9778
400.126,300.008,423.085,300.008,Moving,22.9597
400.128,300.008,423.048,300.008,Moving,22.9202
400.129,300.008,423.033,300.008,Moving,22.9032
400.131,300.008,423.008,300.008,Moving,22.8765
400.132,300.008,422.992,300.008,Moving,22.8599
400.134,300.009,422.966,300.008,Moving,22.8312
400.135,300.009,422.953,300.008,Moving,22.8173
400.138,300.009,422.92,300.008,Moving,22.7827
400.139,300.009,422.907,300.008,Moving,22.7682
400.141,300.009,422.879,300.008,Moving,22.7381
400.142,300.009,422.866,300.008,Moving,22.7247
400.144,300.009,422.834,300.008,Moving,22.6898
400.145,300.009,422.82,300.008,Moving,22.6746
400.15,300.01,422.758,300.008,Moving,22.6079
400.151,300.01,422.744,300.008,Moving,22.5926
400.152,300.01,422.725,300.008,Moving,22.5723
400.155,300.01,422.697,300.008,Moving,22.5428
400.157,300.01,422.673,300.008,Moving,22.5165
400.158,300.01,422.648,300.008,Moving,22.4898
400.161,300.01,422.616,300.008,Moving,22.4544
400.162,300.01,422.601,300.008,Moving,22.4387
400.164,300.01,422.575,300.008,Moving,22.4104
400.167,300.011,422.545,300.008,Moving,22.378
400.171,300.011,422.494,300.008,Moving,22.3228
400.172,300.011,422.476,300.008,Moving,22.304
400.174,300.011,422.453,300.008,Moving,22.2784
400.18,300.011,422.389,300.008,Moving,22.2093
400.183,300.012,422.348,300.008,Moving,22.1646
400.185,300.012,422.332,300.008,Moving,22.1479
400.187,300.012,422.309,300.008,Moving,22.1223
400.188,300.012,422.29,300.008,Moving,22.1014
400.191,300.012,422.263,300.008,Moving,22.0725
400.192,300.012,422.248,300.008,Moving,22.0558
400.193,300.012,422.234,300.008,Moving,22.0406
400.195,300.012,422.21,300.008,Moving,22.0144
400.197,300.013,422.195,300.008,Moving,21.9985
400.198,300.013,422.181,300.008,Moving,21.9828
400.2,300.013,422.157,300.008,Moving,21.9576
400.201,300.013,422.142,300.008,Moving,21.9412
400.203,300.013,422.119,300.008,Moving,21.9153
400.205,300.013,422.103,300.008,Moving,21.898
400.207,300.013,422.08,300.008,Moving,21.8735
400.208,300.013,422.063,300.008,Moving,21.8545
400.211,300.013,422.038,300.008,Moving,21.8273
400.213,300.014,422.018,300.008,Moving,21.8059
400.214,300.014,421.998,300.008,Moving,21.7841
400.216,300.014,421.984,300.008,Moving,21.7679
400.218,300.014,421.962,300.008,Moving,21.7443
400.219,300.014,421.945,300.008,Moving,21.7261
400.221,300.014,421.931,300.008,Moving,21.7108
400.223,300.014,421.909,300.008,Moving,21.6857
400.224,300.014,421.894,300.008,Moving,21.6693
400.227,300.015,421.868,300.008,Moving,21.6419
400.228,300.015,421.848,300.008,Moving,21.6198
400.231,300.015,421.826,300.008,Moving,21.5956
400.233,300.015,421.799,300.008,Moving,21.5655
400.235,300.015,421.781,300.008,Moving,21.5464
400.236,300.015,421.765,300.008,Moving,21.529
400.241,300.015,421.723,300.008,Moving,21.4821
400.242,300.016,421.709,300.008,Moving,21.4671
400.244,300.016,421.684,300.008,Moving,21.4397
400.246,300.016,421.666,300.008,Moving,21.4202
400.25,300.016,421.633,300.008,Moving,21.3834
400.251,300.016,421.619,300.008,Moving,21.3676
400.253,300.016,421.594,300.008,Moving,21.3411
400.255,300.016,421.58,300.008,Moving,21.3253
400.257,300.017,421.559,300.008,Moving,21.3019
400.258,300.017,421.544,300.008,Moving,21.2854
400.26,300.017,421.53,300.008,Moving,21.2701
400.262,300.017,421.507,300.008,Moving,21.2451
400.264,300.017,421.493,300.008,Moving,21.2289
400.266,300.017,421.469,300.008,Moving,21.2026
400.268,300.017,421.453,300.008,Moving,21.1853
400.27,300.017,421.433,300.008,Moving,21.1629
400.271,300.017,421.418,300.008,Moving,21.1471
400.273,300.018,421.404,300.008,Moving,21.1306
400.275,300.018,421.379,300.008,Moving,21.1037
400.87,300.057,417.295,300.01,Moving,16.425
400.873,300.057,417.28,300.01,Moving,16.4071
400.875,300.057,417.266,300.01,Moving,16.3908
400.88,300.057,417.244,300.01,Moving,16.3644
400.882,300.058,417.229,300.01,Moving,16.347
400.887,300.058,417.206,300.01,Moving,16.319
400.89,300.058,417.191,300.01,Moving,16.3015
400.894,300.058,417.168,300.01,Moving,16.2741
400.897,300.059,417.152,300.01,Moving,16.2548
400.901,300.059,417.133,300.01,Moving,16.2322
400.903,300.059,417.118,300.01,Moving,16.2149
400.908,300.059,417.095,300.01,Moving,16.1878
400.911,300.06,417.08,300.01,Moving,16.1697
400.915,300.06,417.057,300.01,Moving,16.1421
400.918,300.06,417.042,300.01,Moving,16.124
400.922,300.06,417.02,300.01,Moving,16.0976
400.925,300.06,417.004,300.01,Moving,16.0786
400.928,300.061,416.989,300.01,Moving,16.0615
400.933,300.061,416.966,300.01,Moving,16.0332
400.935,300.061,416.951,300.01,Moving,16.0153
400.938,300.061,416.936,300.01,Moving,15.9983
400.943,300.062,416.914,300.01,Moving,15.971
400.945,300.062,416.899,300.01,Moving,15.9541
400.949,300.062,416.882,300.01,Moving,15.9338
400.953,300.062,416.86,300.01,Moving,15.9066
400.957,300.063,416.84,300.01,Moving,15.8831
400.964,300.063,416.804,300.01,Moving,15.8405
400.969,300.063,416.78,300.01,Moving,15.811
400.982,300.064,416.713,300.01,Moving,15.7312
400.988,300.065,416.682,300.01,Moving,15.694
400.991,300.065,416.668,300.01,Moving,15.6767
400.997,300.065,416.639,300.011,Moving,15.6428
401,300.065,416.624,300.011,Moving,15.6243
401.005,300.066,416.595,300.011,Moving,15.5901
401.009,300.066,416.576,300.011,Moving,15.5671
401.015,300.066,416.545,300.011,Moving,15.5302
401.018,300.067,416.531,300.011,Moving,15.5128
401.024,300.067,416.505,300.011,Moving,15.4812
